Precinct,RegisteredVoters,RepublicanVoters,PercentRepublican,DemocratVoters,PercentDemocrat,LibertarianVoters,PercentLibertarian,IndependentVoters,PercentIndependent
90200,4695,3004,63,1058,22,23,0,610,12
90201,427,295,69,100,23,0,0,32,7
90202,272,209,76,38,13,1,0,24,8
90206,1030,597,57,262,25,3,0,168,16
90211,1100,705,64,225,20,3,0,167,15
90215,2492,1494,59,609,24,8,0,381,15
90217,2602,1597,61,590,22,14,0,401,15
90220,791,482,60,190,24,4,0,115,14
90221,1848,1076,58,463,25,8,0,301,16
90223,2568,1473,57,656,25,11,0,428,16
90224,1720,1031,59,386,22,10,0,293,17
90225,1760,1023,58,455,25,7,0,275,15
90226,323,224,69,72,22,0,0,27,8
90227,2942,1749,59,688,23,7,0,498,16
90228,1152,601,52,262,22,7,0,282,24
90302,886,613,69,189,21,2,0,82,9
90303,3031,2011,66,614,20,10,0,396,13
90308,610,437,71,111,18,2,0,60,9
90309,163,117,71,29,17,0,0,17,10
90503,27,22,81,2,7,0,0,3,11
90506,2083,1434,68,369,17,8,0,272,13
140004,2444,1572,64,629,25,2,0,241,9
140005,2254,1266,56,664,29,7,0,317,14
140007,1978,1353,68,356,17,4,0,265,13
140009,2409,1446,60,618,25,5,0,340,14
140010,1378,717,52,439,31,3,0,219,15
140017,186,110,59,52,27,0,0,24,12
140020,2839,1819,64,677,23,2,0,341,12
140024,215,101,46,78,36,0,0,36,16
140036,359,216,60,100,27,0,0,43,11
140037,1379,693,50,395,28,7,0,284,20
140040,2024,1017,50,680,33,3,0,324,16
140041,1098,455,41,376,34,4,0,263,23
140043,2434,1365,56,652,26,7,0,410,16
140050,2481,1240,49,844,34,3,0,394,15
140060,1226,775,63,320,26,0,0,131,10
140061,2408,1493,62,646,26,9,0,260,10
140063,565,363,64,113,20,0,0,89,15
140064,1948,1141,58,492,25,6,0,309,15
140065,316,159,50,93,29,0,0,64,20
140069,2637,1361,51,863,32,5,0,408,15
140072,221,140,63,64,28,0,0,17,7
140078,1827,1178,64,408,22,6,0,235,12
140086,2211,1328,60,596,26,9,0,278,12
140087,960,598,62,237,24,0,0,125,13
140088,2559,1583,61,625,24,5,0,346,13
550001,628,214,34,278,44,0,0,136,21
550002,128,75,58,35,27,0,0,18,14
550003,653,389,59,189,28,1,0,74,11
550005,496,249,50,173,34,1,0,73,14
550012,1442,672,46,546,37,1,0,223,15
550014,88,35,39,44,50,0,0,9,10
550015,734,356,48,270,36,3,0,105,14
550016,331,186,56,108,32,1,0,36,10
550021,408,243,59,100,24,0,0,65,15
550022,347,204,58,95,27,0,0,48,13
550035,1906,1044,54,507,26,9,0,346,18
550036,426,274,64,77,18,0,0,75,17
550051,924,409,44,314,33,7,0,194,20
550052,506,307,60,110,21,0,0,89,17
550062,1511,959,63,350,23,3,0,199,13
550063,460,322,70,76,16,0,0,62,13
550065,66,50,75,9,13,0,0,7,10
550066,496,69,13,384,77,0,0,43,8
550067,750,444,59,183,24,4,0,119,15
550072,159,77,48,50,31,2,1,30,18
550073,170,93,54,52,30,1,0,24,14
550074,368,44,11,285,77,0,0,39,10
550075,1238,95,7,1016,82,0,0,127,10
550076,156,93,59,43,27,0,0,20,12
550077,299,74,24,184,61,1,0,40,13
550098,8,2,25,4,50,0,0,2,25
550099,1193,666,55,385,32,2,0,140,11
550102,1315,785,59,403,30,0,0,127,9
550103,132,88,66,29,21,1,0,14,10
550107,534,277,51,179,33,3,0,75,14
550108,456,289,63,131,28,0,0,36,7
